"wA1Bge src","FmcO7b","vWB2ve","T7nuU 2","WHxBId","gjvCCd"
"https://lh3.googleusercontent.com/a-/ALV-UjXsgY_dNXopIXIspu82JQE9vg-6zS9twz1L9_1iMe-p6acFVwcA=s128-w32-d-h32-cc-rp","a","2 years ago","The cinematography and direction, needless to say, are incredible. There are moments where the camera direction could improve, but it isn't too distracting. The first scene, the wedding scene, practically is a showcase of how well done the actors' directions are. There are a lot of subtleties, the actors and actresses look so natural, they don't look tense at all, which helps make the scene feels more real. The color scheme also helps to give an ol' time vibe. An easy 9.6. Halfway through the movie, though, I started asking myself, ""Isn't the movie essentially over?"" The major conflicts are resolved, so what will I be spending another 80+ minutes for? And in a sense, I'd probably be better off stopping there. There are a lot of good moments, one of my favorite being when Vito finds out about his son's death. His grief is ironic, a jab to what he told John about crying. The scene on marital abuse portrays the misogynistic reality, still prevalent today. Connie's anger isn't a rational action, but an understandable byproduct of continual abuse (and a narcissistic relationship). But all these come with a bitter cost: less screentime on several supposedly important characters. Why do I even want to root for Apollonia if she's portrayed as a dumbhead with no relatable qualities? A lot of characters started becoming harder to root for. Worse off? The subtleties in the first half (e.g. children playing in the street) lack so much variety they are practically reusable scenes. I know they're practically just supporting characters, but can we at least be more creative than putting the same laugh track over and over for doing random kid things? By the end of the movie I just have this bubbling rage for Kay and Mike's relationship. And I think a 9 would have been overly generous for its second half, so I'd gladly give it an 8.9/10 if possible.","You and 9 other people found this helpful.","9 people found this helpful."
"https://lh3.googleusercontent.com/a-/ALV-UjVwKumAbvBKhyq2ATrF1V3JKbk9OLzRoEkUrVkfpeOWFaSBCi6ZQg=s128-w32-d-h32-cc-rp","Basudev Das","8 months ago","The cinematography and direction, needless to say, are incredible. There are moments where the camera direction could improve, but it isn't too distracting. The first scene, the wedding scene, practically is a showcase of how well done the actors' directions are. There are a lot of subtleties, the actors and actresses look so natural, they don't look tense at all, which helps make the scene feels more real. The color scheme also helps to give an ol' time vibe. An easy 9.6. Halfway through the movie, though, I started asking myself, ""Isn't the movie essentially over?"" The major conflicts are resolved, so what will I be spending another 80+ minutes for? And in a sense, I'd probably be better off stopping there. There are a lot of good moments, one of my favorite being when Vito finds out about his son's death. His grief is ironic, a jab to what he told John about crying. The scene on marital abuse portrays the misogynistic reality, still prevalent today. Connie's anger isn't a rational action, but an understandable byproduct of continual abuse (and a narcissistic relationship). But all these come with a bitter cost: less screentime on several supposedly important characters. Why do I even want to root for Apollonia if she's portrayed as a dumbhead with no relatable qualities? A lot of characters started becoming harder to root for. Worse off? The subtleties in the first half (e.g. children playing in the street) lack so much variety they are practically reusable scenes. I know they're practically just supporting characters, but can we at least be more creative than putting the same laugh track over and over for doing random kid things? By the end of the movie I just have this bubbling rage for Kay and Mike's relationship. And I think a 9 would have been overly generous for its second half, so I'd gladly give it an 8.9/10 if possible....","You and 2 other people found this helpful.","2 people found this helpful."
"https://lh3.googleusercontent.com/a-/ALV-UjW_wL8MdkhIIcCYn6hhTUDBKG90EOCDdsWTt3mj9u4OzflZGZHy=s128-w32-d-h32-cc-rp","Joel Noronha","a year ago","The Godfather is a story of what it is to be a man- to be feared, respected and to be one who stands by his word, who has to take care of his family and provide for them, stand with tem in difficult times and good times. Nice story, excellent representation of life shown in this movie. Shows people the life when they have everything also the life when they have nothing. Shows life before death and also also the scarry death. Very nice acting by the cast particularly Marlon Brando and Al Pacino. I am really impressed by the acting performances of all the actors on screen. Very nices storytelling, interesting, engaging and full of thrill and suspense. I had a good time watching this film. Didnt knew how fast time flew watching this film. I recommend this film to all men out there to have a spine and to never  bow down to any foolish people, stand by your word and have the last say. I rate this movie 10 stars on 10. This movie is a crime thriller movie yet it is as much real and relatable to the audience. Family life, family struggle, every day problems all shown in the movie. This movie deserves a huge shoutout. Glad to see that this movie being so old is still fresh and releavnt to the todays audience. Evergreen film.","You and 8 other people found this helpful.","8 people found this helpful."
"https://lh3.googleusercontent.com/a-/ALV-UjUAy4q-MNEb5ab2rRR3r5G1jqdOuCtQsVDeml9lBPWq5BNPjk9B=s128-w32-d-h32-cc-rp","J. Patrick Langley","2 years ago","This might quite possibly be the best movie ever made. It has completely replaced Terminator 2 and Pulp Fiction as my favourite film. Its combination of great acting, cinematography, dialogue, storytelling and other things make this movie a perfect movie. It also manages to keep a very slow, steady pace without being boring, which is not an easy feat to achieve. They don’t make movies like this anymore. Modern movies like Marvel are the Hollywood action equivalent of pornography. However, the reason I rated it 18+ is not just because of the content. There is that too: casual, realistic violence that could desensitize children in an unhealthy matter, drug themes, brief sexuality, and swearing (although the swearing is PG-level as opposed to a typical R-rated movie); but the complexity of the story is best appreciated by people that are mature enough to understand the aspects of the story and why it’s so good. Even some young adults might want to hold off until they have more mental and emotional growth. Anyone under 18: Watch it with an adult or hold off","You and 9 other people found this helpful.","9 people found this helpful."
"https://lh3.googleusercontent.com/a-/ALV-UjU50-VOzwwpfKv612ZRn68ymKCIQNOzUUwFlXuOsC2Bn-Cx0NxT=s128-w32-d-h32-cc-rp","Dipti Ranjan Nayak","3 years ago","It’s been 48 years since this masterpiece came and 7 years since I came across to witness the most beautiful, tragic and powerful story ever put on cinema.No matter how many times I’ve watched it , I always came across many new facts that I had overlooked the last time which makes this movie never loses its charm rather increases it’s quality. It always elevates my desire to watch cinema and learn things about life that I never thought I would from watching movie about the mafia. For me godfather is more than movie, an historic moment really shaped the quality of cinema and the influence over the people for generations to come.This is movie holds a special place in my heart. Thank u for existing ❤️.","You and 17 other people found this helpful.","17 people found this helpful."
"https://lh3.googleusercontent.com/a/ACg8ocKfwJFFOkDj94uN1DN6YALOrEzrTrJgOayq4Mby3XFAHP9YtQ=s128-w32-d-h32-cc-rp","Ankit Nainwal","a year ago","""The Godfather"" is a 1972 crime / drama movie directed by Francis Ford Coppola and based on the Mario Puzo novel of the same name . This movie is basically about the Corleone family under the patriarch , Vito Corleone also known as Godfather . When Don Corleone refuses to enter the drug business a series of events takes place resulting in the assassination attempts on Don Corleone and leading his youngest Michael Corleone who is also a war hero to rise and take over his business . The role of Michael is played by one of most classy and finest actor for this movie Al Pacino who is famous for his intense and intriguing acting . The Retro look and the sophisticated scenes made this movie a true masterpiece . It took us back to the time when these Mafia's family really existed and showed us how much influence they holded at that time . 
I personally recommend you to watch this movie alone or with a silent partner , so that you can grasp and feel each and every scene of this movie without any distraction .","You and 6 other people found this helpful.","6 people found this helpful."
"https://lh3.googleusercontent.com/a-/ALV-UjXBq9JhJIAlWH5suPhEs43plCnyCwxfqWw5aPiwoUu4PYuym1GN=s128-w32-d-h32-cc-rp","Elon Wainwright","a month ago","Man I just don't know where to start. This is hands down the best gangster movie ever made! The most powerful, the most violent, and even the most traumatizing. Al Pacino stars as Michael Corleone, the son of mob boss Don Vito Corleone (Marlon Brando). Vito is a very powerful crime boss with a hoarse voice and he decides to one day let his son take control of the family business.

Michael Corleone was in the Marine Corps but he was discharged at some point later in his life. So the first movie of the franchise shows us how innocent Michael appears to be despite his surroundings. Over the course of the movie, we will be introduced to all the members of the Corleone crime family as well as the lawyer who is played by Robert Duvall. 

The acting is top notch, it's so great it feels like you're actually right there in the movie experiencing what's right in front of your eyes. Michael's innocence is destroyed as the movie progresses, and he turns insane and becomes vindictive for reasons I won't explain because I don't want to spoil the movie for people who haven't seen it yet.

But be warned, The Godfather has lots of very jaw dropping but also shocking moments that can leave you traumatized. You could have some of these scenes stuck in your head for weeks, the movie teaches you a valuable lesson about living a life of crime, especially if you're in a gang or you show interest in the mafia. 

There are some memorable quotes in the movie as well like ""Leave the gun, take the cannoli"".","You found this helpful.","Was this review helpful to you?"
"https://lh3.googleusercontent.com/a-/ALV-UjVBHxu3QR-P9mJfyzwG3LxTSU_Pxa1OnxovJsZ_-WIgIe_pojdC=s128-w32-d-h32-cc-rp","Anthon","11 months ago","i first got to watch this masterpiece back in 06' 
when i was just in the begining of my early adolescent and the cinematogy really did have a huge impact on me, the vibes and the crossfield settings of the show was just emphatic, after watching all those batman movies back when i was just a todd, it was something new, spectacularly amazing. since i was a child in early 00s i was lucky enough to be exposed in various fields, say the euros 00s, the batmans of the late 80s and the 90s, classic movies of the mid 90s, and so on, the godfather was truly an epitome that was set apart in its own league. extra ordinary. the movie is so good and i felt even more when i watched it again when i was at a maturing age in '2013, i was shell shocked, hands down one ofthe best in history, in eltie class. the cast and the delivery of the characters moved me, what can i say, when michael took over it was a bomb move and I couldn't control the euphoria it expelled. the vibrations of this movie is soo enigmatic yet the feels is fantastic like you know it. franics ford, take a bow!","You and 1 other person found this helpful.","1 person found this helpful."
"https://lh3.googleusercontent.com/a/ACg8ocJtCWLYbReWIg7Cvc3TCOBszsM2pxMZJpL2hUkW_S2xf1Z7Fw=s128-w32-d-h32-cc-rp","Neill Graham","3 years ago","I was a young caseworker at the adult aftercare agency, John Howard Society, in Montreal from 1969 to 1974. When Puzo's book came out, we devoured it admiring it almost as a sociological treatise on the principal of ""social reciprocity"" in traditional organized crime groups. When the movie came out a mere three years later, we saw it all there again when the Don held court at the wedding handing out ""favors"" which would be ruthlessly called in later. One of our missions in rehabilitating offenders was to show them that they could receive and give favors without getting or giving anything in return except a ""thank you"" in normal society. The ""pay it forward"" notion caught on. 
The irreconcilable clash of social values was most vividly captured by Michael's (Al Pacino) need to lie to Kay (Diane Keaton) about the nature of the business so he would not lose her. This was an essential  representation of how women were manipulated and not considered ""equals"" in the crime family mentality. 
The on-screen violence was a necessary metaphor about the perversion of personal morality in gangster life brought to its ultimate climax when Sonny is killed and more vividly in the third movie when Michael's innocent daughter is slaughtered.
The Godfather is a film for the ages that is a mesmerizing morality tale as well as a historical ""snapshot"" of a sub strata of society in a bygone time.","You and 4 other people found this helpful.","4 people found this helpful."
"https://lh3.googleusercontent.com/a-/ALV-UjVYMVVDwnCk4NzXceLRcC6ZdIl9L9Kd33-Iwyz5ozeZeAhttUbB=s128-w32-d-h32-cc-rp","Sal Pakulski","a year ago","Okay imma be honest, I DID NOT like it at first. It thought it was okay, then I realized that I had replayed the ending about 5 times and didn’t wanna see anything else. And when a 3 hour movie makes you want to sit down and watch it again you know it must be some unbelievable level of good. I had already fallen in love with Al Pacino since I had seen Dog Day Afternoon. And I needed to see more, his performance in this movie is SO AMAZING like y’all don’t even get me started. (Also side note doesn’t he kinda look like Jake Gyllenhaal in Brokeback Mountain and Lin Manuel Miranda in general in this movie???). My only complaint (but not really even) about this movie is that the plot is a bit predictable, a lot of the time I knew what was gonna happen before it happened. But maybe I’ve just seen too many movies. One thing I did notice though, is just how incredibly influential this movie is. I bet each seen has been referenced at least 10 times in media by now! Okay yeah that’s it, what is the second best movie of all time and why is it The Godfather. (Citizen Kane bring number one, gotsta give my boy Orson respect)","You and 7 other people found this helpful.","7 people found this helpful."
"https://lh3.googleusercontent.com/a-/ALV-UjV_M40PuU2RUvsQYt7LckGxvIhleASZ14hQbLpACQ-wPN7xDgOhpw=s128-w32-d-h32-cc-rp","Puroo Roy","3 years ago","I'm gonna be a little too honest here. I only watched The Godfather in peer pressure. I don't even like old Hollywood films. I always start feeling drowsy while watching them. Not only is the camera quality too bleak, but the accent of the time was also very illegible. But this one was fun to watch. I saw it on Prime Video and took multiple sittings to watch this. I finished it 6 months ago but I remember seeing it like it was yesterday. Being from India, I have always thought of 70's films to be very family friendly and musical. But this isn't one of them. This one, in simple words, is metal.
The Godfather is probably what has inspired an entire genre of crime films. It is like what Star Wars is to fantasy, or what Superman is to the superhero genre (man, all 70's films have been so revolutionary in Hollywood). The whole idea of two groups of mafia fighting out each other in the most brutal way possible gave rise to Once Upon a Time in Mumbaai, Gangs of Wasseypur, the Mafia game trilogy, and even this film's two sequels. That is the amount of cultural impact this film has left. Don Corleone has become a household name now.
The action scenes, the music, the acting, everything is legendary. I legit screamed at the scene where they put the horse's head in that man's bed. We see many times people learning acting by watching The Godfather films. The only problem I had, however, was what I said in the beginning of the review. The sound is not clear at all. When Vito Corleone speaks he sounds like he is swishing saliva in his mouth like a washing machine. It almost feels like the captions are saying something completely different from what the captions are saying. I finally gave up and switched to Hindi because the English ADR was so bad.
I really wish The Godfather was a standalone film. It has one of the most satisfying ending in all the old films. It really didn't need those terrible sequels which don't even have a Hindi dub. Although it has been almost 50 years since it released, it still feels like it would spark outrage among certain sections if a Bollywood adaptation would be made. Definitely way ahead of its time. I would have recommended it to everyone, except everyone I know is either not interested in cinematography or has already seen it.","You and 11 other people found this helpful.","11 people found this helpful."
