"wA1Bge src","FmcO7b","vWB2ve","T7nuU 2","WHxBId","gjvCCd"
"https://lh3.googleusercontent.com/a/ACg8ocJM6GRRkpu3dcPcnhrpYh1yFhdjOEM2b76fZ2QLUck8GNuliA=s128-w32-d-h32-cc-rp","Zeba Farheen","11 months ago","**""Taare Zameen Par"" – A Heartwarming Masterpiece That Speaks to the Soul**

*Taare Zameen Par* isn’t just a film; it’s a poignant journey that tugs at your heartstrings. Directed by Aamir Khan, this film beautifully captures the story of Ishaan, an 8-year-old boy with dyslexia, who sees the world through a lens of wonder and creativity. While his brilliance goes unnoticed by his family and teachers, his struggle to meet societal expectations leaves him feeling lost and misunderstood. 

Enter Ram Shankar Nikumbh (played by Aamir Khan), a compassionate art teacher who recognizes Ishaan’s unique gifts and, through patience and empathy, helps him unlock his true potential. The film's message is clear: every child is special in their own way, and it’s the responsibility of society to nurture their talents instead of pushing them into rigid molds.

The storytelling is tender, and the performances are raw and real. Darsheel Safary, as Ishaan, delivers a performance that is both heartbreaking and uplifting. The soundtrack, with songs like ""Maa"" and ""Taare Zameen Par,"" elevates the emotional depth of the film, making it impossible to hold back tears.

Aamir Khan’s direction is sensitive and powerful, highlighting issues that many overlook. It’s a film that speaks to parents, teachers, and students alike, urging us to embrace differences and celebrate individuality.

*Taare Zameen Par* is not just a movie—it’s a reminder that sometimes, the brightest stars are the ones we fail to see. A must-watch for anyone who believes in the beauty of human potential.","You and 10 other people found this helpful.","10 people found this helpful."
"https://lh3.googleusercontent.com/a-/ALV-UjV1Gq1UIpJ6WRm6LiyYGhpP-EHpUYuN_IR9OPzdDlmSudC8Zno=s128-w32-d-h32-cc-rp","Amrita Chatterjee","a year ago","""Taare Zameen Par "" Sometime we found stars in our earth this movie is one of the stars . This movie is a masterpiece.This movie has shown us that the world is comaparative. Now a days students are suffering  from depression.But this movie has shown us a way to get out of it.The  unconditionally  love between Ishaan(Darshil)and Shankar(Amir) is just awesome the perfect relationship between a master and student . The movie has proved that every child is special and if they get support they will overcome every mountain. Darshil has done amazing acting in that small age and Amir is phenomenal .I am sure many parents have benefitted themselves from this movie and the greatest benefiters are the children who can be understood now by their parents.Music is just so enchanting and exceptional.Every moment of the movie is enjoyable especially the last scene .I think it is a must watch movie especially for teacher's parent's and student's.","You and 44 other people found this helpful.","44 people found this helpful."
"https://lh3.googleusercontent.com/a/ACg8ocKtq0Mf5dA_2m52HHzuGxQOp6haSsXh2P9EjpjloQCUnTLm2Q=s128-w32-d-h32-cc-rp","Sahil Khan","a year ago","**Taree Zameen Par - Movie Review**

*Taree Zameen Par* is a poignant film that explores the struggles of a dyslexic child, Ishaan, who battles the rigid education system and societal expectations. Directed by Aamir Khan, the film effectively highlights the emotional and psychological challenges faced by children with learning disabilities.

The storytelling is heartfelt, showcasing Ishaan's journey from isolation to understanding. Aamir Khan's portrayal of the empathetic art teacher, Ram Shankar Nikumbh, adds depth, emphasizing the importance of recognizing individual learning needs. The cinematography captures the innocence of childhood, while the music complements the narrative beautifully.

The film encourages viewers to reflect on their perceptions of education and the importance of nurturing creativity in children. Overall, *Taree Zameen Par* is a moving, thought-provoking piece that advocates for compassion and understanding in the realm of education. It's a must-watch for parents, educators, and anyone who believes in the potential of every child.Principal photography took place in Mumbai, and in Panchgani's New Era High School, where some of the school's students participated in the filming. Taare Zameen Par made its theatrical debut in India on 21 December 2007. It was commercially successful, earning ₹98.48 crore gross worldwide.","You and 1 other person found this helpful.","1 person found this helpful."
"https://lh3.googleusercontent.com/a-/ALV-UjU4eu5Luu8JiOIzD8nQH-5Y5tCpXpu9qzUMkQH9flKVU0olQHuE=s128-w32-d-h32-cc-rp","BEAH JAMAICA KELLEY","a year ago","Every Child is Special has inspired me to never give up, it inspired me by helping me improve on my school work and my personal life it also gives me ideas on when and what to draw, I just imagine the movie and draw ^^!
      My first time watching this is when I was 6 years old, it has always inspired me since it helped me find my way out of my comfort zone and also made my artwork improve.!
  This movie gives a deep message that I hope people would find out and also never give up on your dreams just like what Ishaan did.
             This must be the best movie I’ve ever watched and I suggest that people to watch this!

 Thank you for making this movie it has bee in my life ever since I was 6 I hope you all found your dreams!
                                                    -Beah, Ilagan","You and 25 other people found this helpful.","25 people found this helpful."
"https://lh3.googleusercontent.com/a-/ALV-UjW5cnotAdn4frBzulj9wht4-FpyZgZkbUWQkIyJ7Sh47jAImitv=s128-w32-d-h32-cc-rp","Vanita Chauhan","2 years ago","What a masterpiece!!💛💛💛💛💛💛💛💛💛💛💛💛💛💛💛💛💛💛💛💛💛💛💛💛
No matter how many years roll by this movie will remain in my heart forever. 

The depiction of a child's wild imagination and innocence. The way society kills the amazing possibility of genius thoughts through imposing a regimented lifestyle on kids. 

The portrayal of helplessness of Ishan and how suffocating it can be for a little soul, how Nikumbh gave him space to heal and trust himself again is truly remarkable. 💚


When you see that despite of Ishan trying his best to survive , the adults kept on traumatizing the kid untill he completely loses his self confidence and happiness.
Have you noticed how anxious ishan got initially when he experiences applause for the first time. 
We need more emotionally intelligent people like Nikumbh who makes this world better and brighter with their light. 🤍


I loved every bit of it. The movie touches your heart, it questions your learned belief about society's standards. It makes you emotionally aware. This movie is beautiful throughout, it also has fun elements and heartwarming songs with meaningful lyrics. 💙

It's a must watch for every parent , every teacher and specially those who fail to understand the struggle and feelings of such kids.","You and 6 other people found this helpful.","6 people found this helpful."
"https://lh3.googleusercontent.com/a-/ALV-UjWYWjFTjkf2R4NJwbBFqUalWEqSKvemTfqoJQwBmYr50UMBZOag=s128-w32-d-h32-cc-rp","Abhigna.B. Sridhar","a year ago","I remember watching this when I was a kid and being really emotional, but seeing the movie again after growing up, I don’t think I can see this film with same perspective when I was younger. It’s a really relatable thing seeing the parents, teachers and comparison riding on your back. The way Ishaan  is basically helpless and is being thrashed on literally shows how parent’s genuinely treat children without know what they’re going through. The acting is extremely good and I don’t think I’ve cried seeing films but this one is different. I literally got emotional and felt like my heart was aching when ishaans parents were scolding him. Its best seeing this when you’re older because it has nostalgia of our childhood and the pressure of today.

It’s an overall masterpiece that I would never get tired of, deserves an Oscar.","You and 17 other people found this helpful.","17 people found this helpful."
"https://lh3.googleusercontent.com/a-/ALV-UjUYzCh1pe8TSZKJNCKNTz-Eil1jCki0VwLFTSljMuPuma7RiVgI9w=s128-w32-d-h32-cc-rp","Bhavani Shankar","6 years ago","This movie is a masterpiece. Each and every plot in the movie is touchy and stikes me deep into my heart.The unconditionally Love between ishaan and Mrs avasthi is Divine. Everytime when I watch or by chance listen the movie songs I go goosebumps and start rolling down tears and call back to my Mom such kinda emotional connection this movie has. An the relationship between ishaan and ram Shankar is heart rending one.India culture is perfectly reflects in the film. Every student has a dream to have such kinda teacher to guide, be there and believe on them. Thanks to my State government education board(Andhra Pradesh) made this movie context as a Hindi lesson for secondary School. This movie is the most favorite movie till date (2018).","You and 82 other people found this helpful.","82 people found this helpful."
"https://lh3.googleusercontent.com/a-/ALV-UjX2CcD5aFxajNkp6lnOH97nGZ_fFW3U3KTgaj9EySyU0xR02ZHs=s128-w32-d-h32-cc-rp","Krishna V.M","3 years ago","The best film i have watched in my entire life. Hats off to the whole creators and artists involved in making this wonderfil movie. Darsheel safary and Aamir Khan just lived their characters and it was exceptional. Must watch film for parents and students.  I have watched it for more than 5 times now and the climax portions will always brings emotions to my eyes and heart. Good music, excellent performance,  top direction and editing filled with mischief comedy and emotional moments, thats taare zameen par.   Movies like these will be seen once in a blue moon. Dont miss it.","You and 20 other people found this helpful.","20 people found this helpful."
"https://lh3.googleusercontent.com/a-/ALV-UjXlUNPo9kQpz-bhY47IqOl6H0DxbDcjCCH39pistjj4fI9_GleUSg=s128-w32-d-h32-cc-rp","Preethi Pratapa","9 months ago","I tear up every time I watch this movie. The first time I saw this was in my 11th standard and till today it’s the same emotion. 
So beautifully shown about kids, every kid is special in their own, now as a mother I feel more responsible to understand my kids and help them, be there for them not just physically but emotionally. They are truly a gift from god, so never judge them harshly. Childhood is a foundation for the rest of their lives, so the best gift any parent could give their children is a beautiful childhood, they will only remember how we made them feel, how we treated them. They won’t remember how many gifts we bought. Disciplining them is important but in a certain way, not by making them feel less about themselves, not by shaming them, we can make healthy boundaries which they could follow. However this movie is such an eye opener to many parents. 👏🏻","You found this helpful.","Was this review helpful to you?"
"https://lh3.googleusercontent.com/a-/ALV-UjX0SJZ9Qn2Q0xaPQoDWuPRWpv_3mMiChZ4u0CSJDdcoVQflqvit=s128-w32-d-h32-cc-rp","shruti acharya","7 years ago","TAARE ZAMEEN PAR

As long as I saw the movie I got lost because I got so well connected to the situation therein that, most of the times I found myself in it.  I got deeply involved as I saw Ishaan (portrayed by Darsheel Safary) in the film.

The film brings out the ground reality of how the world looks at children who suffer from dyslexia.  The way Amir Khan (the Director and Producer) has brought out a clear message to the world (not to ignore the simple joys and pleasures of Kids and not to rob them of their childhood life) is simply amazing.  The 8 year old kid Ishaan is good at art but is a slow learner and poor in academics.  

Like any usual and normal parents, Ishaan’s parents too always prioritise homework, marks and neatness. Ishaan on the other hand always dreams of colours, fish, kites and dogs etc. He spends most days punished outside class letting his imagination go around the world.  At home, he is always seen mixing colours, painting away instead of doing his homework.  While his elder brother is very good at studies and sports, Ishaan is quite opposite.  His poor scores in academics becomes a cause of concern to the parents.  Unaware of the reason behind of his weakness, his parents admit him to a boarding school for disciplining him.  Here, the art teacher (Nikumbh) identifies the problem and rises to the occasion to help him to overcome his disability.  Amir Khan, who has cast the Art Teacher’s role has excelled in his role play.

The film has been well edited by Deepa Bhatia.  The Lyrics of the songs are written by Prasoon Joshi, which are too good.  The picturisation of the entire film and especially the song sequences are exceptionally so good that even rock hearted people who would not drop tears would be moved and experience emotions. The title song is fascinating. Maa and Jame Raho combine talents in all respects- music, words and voice. The production design is superb. Not even for a moment you feel anything is fake. 

The picturisation of school sequences is so good. To make things as natural as possible, the Editor has worked hard.  He has involved in a few of the real students of the school.   In fact, a share in the success of the film can be credited to these students too who have justified their involvement in the film.
Bogged down by the routine action films which hardly make any impact on our lives, I would rate this film with a 4.5 score out of 5 and would strongly recommend to film lovers that this is a NOT TO BE MISSED MOVIE.  Let me also add “DO NOT BE CARRIED AWAY BY A FEW POSTERS AND THINK THAT THIS IS A CHILDREN’S FILM.  NO IT IS NOT.  IF YOU HAVENT SEEN IT SO FAR DO IT NOW”.","You and 325 other people found this helpful.","325 people found this helpful."
"https://lh3.googleusercontent.com/a-/ALV-UjUIqp4BWle56FW2mtVPTAlq8Z94WJFDJWIgBI7P3B4M9dFZBMlw=s128-w32-d-h32-cc-rp","Rakesh Sharma","4 years ago","I can just say that this movie is the only Hindi  movie for me left to watch ......it’s the best movie of Bollywood ......it really deserved to win Oscar .......this movie main motive was to make parents and teachers understand that not every child is of Same type ......god has made everyone similar ......he might have taken something from a person but have also given special think which is not in others......those who are mentally retarded think out of the box and do special for everyone in the world .....like Albert Einstein, bill gates , Thomas Alva Edison and more ........Ishan would have not succeeded in leading a good life if teacher Nikumbh was not there ......there are people who help these abnormal children but they are rare ......
Hats of to the directors and this movie was first movie produced by
Aamir Khan .....hats of to all the actors especially darsheel and Aamir Khan and all the actors who played the role of teachers and all .....
Rating 10000000/5 
🤩🤩🤩🤩🤩
Aamir Khan proved that he is better than Shahrukh Khan , Salman Khan , Akshay Kumar’s and many other stars","You and 12 other people found this helpful.","12 people found this helpful."
"https://lh3.googleusercontent.com/a-/ALV-UjW8zVkUbYHZfU2pD-h9hipLPvZUW_JaaIQszFJAVahVgAC7OVrd=s128-w32-d-h32-cc-rp","Evelyn Bagona","6 years ago","This is a movie but the characters, the story, the message and the lessons are real. This is very helpful to SPED teachers and for parents having children with special and unique needs. Every time I watched this together with my class, i cannot hold my tears rolling down, am emotionally touched with the situation of Ishan in his growing years. However, am glad that one passionate teacher met him and his world gets better and brighter. In here, I can say that  teachers play an important role, either to break or make our students ""shine as stars"".","You and 24 other people found this helpful.","24 people found this helpful."
"https://lh3.googleusercontent.com/a-/ALV-UjW8PFT5ubHQv9Iak4vYneC4ZZRIxgc66UgTc7rfI7FyiuEzjfAX=s128-w32-d-h32-cc-rp","Akilan Sundaram","a year ago","One of the greatest and the most touching Indian family movies of all time!
Everytime I watch this one, it never fails to make me tear up a bit. 

The movie has brilliant characterization, plot, social message, art, and music as well. Emotionally, this film is in a whole new league. 

The message of the film is simple: ""every kid is special and is like a star on earth. Do not compare kids and make it difficult for them because everyone has different abilities/strengths and weaknesses.""

The film also highlights the need for parental love and how support from close ones is very necessary for kids' development.

Watch this movie without any hesitation whatsoever.","You and 2 other people found this helpful.","2 people found this helpful."
"https://lh3.googleusercontent.com/a-/ALV-UjV9ueTwH3fce0HbCOrhT8ce4uxrM27uyjBFxuIiocAMGtintlZC=s128-w32-d-h32-cc-rp","Judith Schrag","a year ago","This is a work of art, true art which elicits so many emotions. The writer, (who also stars as the temporary teacher), is filled with energy and a broad and caring understanding of the talents of children, all children. His work is truly a masterpiece! I wish that everyone would watch this incredible movie and learn from it. Children are precious and our future. The length of the movie is just right for teaching the viewer about life, love, and how a great teacher can change the world of a child. One learns much about DYLEXIA and how it can be overcome. One will be moved to tears, repeatedly, and human emotion is so masterfully created!","You and 16 other people found this helpful.","16 people found this helpful."
"https://lh3.googleusercontent.com/a-/ALV-UjWG47zwp36kHJzNlS9IK9hjvMT57kTNuYHbXFRQNnbUAYW5GRE=s128-w32-d-h32-cc-rp","Aswathi T K","a year ago","Taare Zameen Par, directed by the versatile Indian actor, Aamir Khan, portrays an innocent child, named Ishaan, who has dyslexia. The title of the movie translated as 'Like Stars on Earth' beautifully expresses that every child who is born onto this Earth is a star, with unique capabilities, as Every child is special. Aamir Khan, who plays the role of Ram Shankar Nikumbh, his art teacher, when he is sent away by his parents and everybody who considers him dumb, it is he who realizes his potential and transforms his life. The movie is as beautiful as children's imagination is, as fascinating as their dreams are. It has a meaningful story and a wonderful ending. It is bound to be liked by everybody, young or old, and can be watched morning, noon, and night.","You found this helpful.","Was this review helpful to you?"
